Assessor Parcel Number,Jurisdiction Name,Maxium_density_allowed_(units/Acres),Total Capacity,Parcel_size(Acres),total people per parcel,AIN,CENTER_LAT,CENTER_LON
6320022003,HUNTINGTON PARK,70.0,8.0,0.175333255,15.2,6320022003,33.98409211,-118.2235028
6320022004,HUNTINGTON PARK,70.0,8.0,0.175150027,15.2,6320022004,33.9842295,-118.223503
6320022900,HUNTINGTON PARK,70.0,15.0,0.314708834,28.5,6320022900,33.98442182,-118.2235032
6320020024,HUNTINGTON PARK,70.0,8.0,0.171856818,15.2,6320020024,33.98395836,-118.2256358
6320020022,HUNTINGTON PARK,70.0,8.0,0.171889684,15.2,6320020022,33.98423316,-118.2256362
6320020021,HUNTINGTON PARK,70.0,8.0,0.171947256,15.2,6320020021,33.98437056,-118.2256365
6320020023,HUNTINGTON PARK,70.0,8.0,0.171826643,15.2,6320020023,33.98409577,-118.2256359
6320020025,HUNTINGTON PARK,70.0,8.0,0.171856617,15.2,6320020025,33.98382099,-118.2256355
6320020010,HUNTINGTON PARK,70.0,12.0,0.263780203,22.8,6320020010,33.98482101,-118.2261888
6320020002,HUNTINGTON PARK,70.0,5.0,0.114449807,9.5,6320020002,33.98375311,-118.2263421
6320021006,HUNTINGTON PARK,70.0,5.0,0.104004938,9.5,6320021006,33.98447899,-118.2247461
6320020017,HUNTINGTON PARK,70.0,17.0,0.363374041,32.3,6320020017,33.98511263,-118.2255625
6320021003,HUNTINGTON PARK,70.0,8.0,0.173147446,15.2,6320021003,33.9840668,-118.2247454
6320021002,HUNTINGTON PARK,70.0,6.0,0.138462753,11.4,6320021002,33.98394314,-118.2247451
6320021020,HUNTINGTON PARK,70.0,13.0,0.27554388,24.7,6320021020,33.9839424,-118.2243617
6320030027,HUNTINGTON PARK,70.0,8.0,0.172315193,15.2,6320030027,33.98245522,-118.2247426
6320030035,HUNTINGTON PARK,70.0,28.0,0.572979394,53.2,6320030035,33.98193895,-118.224732
6320030034,HUNTINGTON PARK,70.0,17.0,0.366367847,32.3,6320030034,33.98185621,-118.2242092
6320030906,HUNTINGTON PARK,70.0,75.0,1.550053872,142.5,6320030906,33.98261359,-118.2241945
