location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Latitude,Longitude
"103rd Street Watts Towers, Los Angeles (Watts)",801,466,60,862,138,483,1449,545,278,331,77,4,636,33.942642,-118.243168
"17th Street, Santa Monica",1040,349,394,1122,702,5530,2450,783,1243,88,409,59,1200,34.0231598,-118.480379
"1st Street, Long Beach",1662,2458,122,971,185,9367,1037,628,3722,10597,642,4984,1375,33.7680387,-118.1929586
"26th Street Bergamot, Santa Monica",2546,1169,590,2099,544,19453,2998,1071,1013,334,1043,53,1900,34.0280089,-118.4690898
"5th Street, Long Beach",51,18,1,211,139,141,65,67,577,43,656,152,61,33.7735381,-118.1893802
"7th Street Metro Center, Los Angeles (Financial District)",8324,5969,438,11702,903,77560,4649,7200,8585,14640,3619,6005,10980,34.0486587,-118.258743
"Allen, Pasadena",1053,721,316,207,213,664,376,46,255,167,34,29,404,34.1524415,-118.11356
"Anaheim Street, Long Beach",985,911,378,761,438,2261,859,2063,1109,64,134,68,1044,33.7819667,-118.1893846
"APU Citrus College, Azusa",284,711,124,334,90,640,2334,476,980,199,143,44,293,34.1371127,-117.8908309
"Arcadia, Arcadia",962,355,621,2176,152,4586,874,3243,1820,575,1989,385,861,34.1362075,-118.0401497
"Artesia, Compton",2727,1174,250,610,385,970,723,469,584,551,43,0,757,33.8764585,-118.2226502
"Atlantic, East Los Angeles",1491,1366,507,1489,612,3510,1275,1476,1062,1233,136,77,1091,34.0334012,-118.1545923
"Avalon, Los Angeles (South Los Angeles)",686,427,149,301,92,676,1059,460,274,109,111,2,362,33.9274857,-118.2652233
"Aviation LAX, Los Angeles (Westchester)",1060,39572,231,1374,99,4635,729,431,1950,1569,180,2499,1569,33.9295802,-118.3769007
"natown, Los Angeles (Chinatown)",2308,5183,67,1117,335,8972,934,2957,3142,16384,1547,235,3496,34.0625115,-118.2389626
"vic Center Grand Park, Los Angeles (Civic Center)",7330,8390,209,7147,884,60783,2332,5150,8296,19639,3047,3595,8796,34.0548968,-118.2460939
"mpton, Compton",569,973,228,469,276,919,1113,465,536,2234,123,2,544,33.894927,-118.226624
"renshaw, Hawthorne",280,266,229,374,311,600,565,513,611,59,209,14,462,33.9252122,-118.3265295
"ulver City, Culver City",1977,1039,947,1613,531,16302,1404,2714,2207,885,1112,316,2032,34.0211224,-118.396466
"Del Amo, Rancho Dominguez",3783,2498,231,983,242,2690,317,604,312,122,26,3,312,33.86668245,-118.2224889
"Del Mar, Pasadena",754,279,154,349,133,1067,342,391,270,36,197,155,366,34.1419849,-118.1482104
"Downtown Long Beach, Long Beach",1453,1613,145,1047,263,9770,1306,3015,4071,10432,476,5000,1773,33.7680387,-118.1929586
"Duarte City of Hope, Duarte",776,430,475,877,71,895,285,1743,802,292,111,32,311,34.1325154,-117.967501
"East LA Civic Center, East Los Angeles",709,461,415,620,413,3092,1548,1284,1149,8558,81,7,911,34.0333643,-118.161215
"El Segundo, El Segundo",3444,1563,217,366,73,2211,311,266,603,548,485,76,679,33.917028,-118.4156337
"Expo Bundy, Los Angeles (Sawtelle)",3270,1497,626,3352,678,18417,1034,2286,1866,383,1091,110,3056,34.0316631,-118.4531105
"Expo Crenshaw, Los Angeles (Jefferson Park)",733,456,238,407,169,1260,883,763,688,157,73,8,949,34.0219841,-118.334895
"Expo La Brea, Los Angeles (Baldwin Hills)",696,398,148,798,172,1385,1036,372,395,37,357,14,529,34.0248103,-118.3551479
"Expo Park USC, Los Angeles (University Park)",1766,1371,708,1678,374,2626,6124,2747,2117,653,556,215,2138,34.0218833,-118.2858666
"Expo Sepulveda, Los Angeles (Rancho Park)",2379,863,523,2174,697,9508,882,1875,1967,250,516,91,2569,34.0354277,-118.4338164
"Expo Vermont, Los Angeles (University Park)",2231,1319,567,1652,346,2337,5834,2469,2117,650,709,213,1702,34.01825,-118.2917403
"Expo Western, Los Angeles (University Park)",1766,1371,708,1678,374,2626,6124,2747,2117,653,556,215,2138,34.0218833,-118.2858666
"Fairview Heights, Inglewood (Hyde Park)",701,937,375,1853,373,7207,564,1626,1665,297,311,226,1119,38.593815,-89.970848
"Farmdale, Los Angeles (Adams)",782,520,250,811,302,1853,1146,927,811,146,121,16,866,34.0238958,-118.3462035
"Fillmore, Pasadena",1546,561,166,1953,646,13775,5640,8819,3710,562,685,449,2325,34.1335508,-118.148117
"Firestone, Florence-Graham",499,490,262,750,302,689,1660,217,646,233,23,13,516,33.9741588,-118.2432856
"Florence, Florence-Graham",1230,803,480,1090,471,814,2636,294,844,99,66,1,702,33.9741588,-118.2432856
"Grand Avenue Arts Bunker Hill, Los Angeles (Bunker Hill)",8142,7483,274,9514,1143,75926,3667,5844,9587,20119,3973,5654,11161,34.0549665,-118.251427
"Grand LATT, Los Angeles (Historic South Central)",2156,1131,346,1645,266,2176,6125,2458,1984,614,807,211,1244,34.0162304,-118.2673085
"Harbor Freeway, Los Angeles (South Los Angeles)",261,282,283,281,236,575,1598,552,744,365,962,43,1539,34.0220202,-118.2774872
"Hawthorne Lennox, Hawthorne",321,9,17,44,100,201,0,107,160,3,4,56,23,33.9335004,-118.3519756
"Heritage Square, Los Angeles (Cypress Park)",888,301,147,659,258,648,705,434,554,107,64,4,593,34.087127,-118.2132887
"Highland Park, Los Angeles (Highland Park)",299,138,127,399,356,945,699,693,776,55,143,17,505,34.1099469,-118.1969828
"Historic Broadway, Los Angeles (Civic Center)",26,15,24,81,14,93,270,190,34,72,0,2,206,34.0520767,-118.246531
"Hollywood Highland, Los Angeles (Hollywood)",1188,1110,658,3481,592,11300,1173,1462,5282,742,3669,1363,5488,34.10244,-118.3402585
"Hollywood Vine, Los Angeles (Hollywood)",1134,1011,816,2954,454,16695,1637,1833,4886,782,3302,1469,5362,34.1014183,-118.3257421
