location,industrial,logistics,auto,retail,grocery,office,education,health,restaurants,public sector,entertainment,hotel,others,Employee/Residential Population Ratio (per 100 Residents),Latitude,Longitude,Walkscore,distance_to_park,distance_to_transit_station,distance_to_bike_station
"Firestone, Florence-Graham",499,490,262,750,302,689,1660,217,646,233,23,13,516,11,33.9741588,-118.2432856,81,0.6 km,0.2 km,0.2 km
"Florence, Florence-Graham",1230,803,480,1090,471,814,2636,294,844,99,66,1,702,18,33.9741588,-118.2432856,81,0.6 km,0.2 km,0.2 km
"Grand Avenue Arts Bunker Hill, Los Angeles (Bunker Hill)",8142,7483,274,9514,1143,75926,3667,5844,9587,20119,3973,5654,11161,202,34.0549665,-118.251427,96,0.3 km,90 m,69 m
"Grand LATT, Los Angeles (Historic South Central)",2156,1131,346,1645,266,2176,6125,2458,1984,614,807,211,1244,36,34.0162304,-118.2673085,82,0.8 km,1 m,1 m
"Harbor Freeway, Los Angeles (South Los Angeles)",261,282,283,281,236,575,1598,552,744,365,962,43,1539,12,34.0220202,-118.2774872,92,0.7 km,0.3 km,0.3 km
"Hawthorne Lennox, Hawthorne",321,9,17,44,100,201,0,107,160,3,4,56,23,36,33.9335004,-118.3519756,77,1.0 km,1 m,1 m
"Heritage Square, Los Angeles (Cypress Park)",888,301,147,659,258,648,705,434,554,107,64,4,593,18,34.087127,-118.2132887,81,0.8 km,94 m,0.1 km
"Highland Park, Los Angeles (Highland Park)",299,138,127,399,356,945,699,693,776,55,143,17,505,13,34.1099469,-118.1969828,94,0.4 km,0.2 km,39 m
"Historic Broadway, Los Angeles (Civic Center)",26,15,24,81,14,93,270,190,34,72,0,2,206,116,34.0520767,-118.246531,97,0.3 km,17 m,0.1 km
"Hollywood Highland, Los Angeles (Hollywood)",1188,1110,658,3481,592,11300,1173,1462,5282,742,3669,1363,5488,70,34.10244,-118.3402585,98,0.3 km,0.2 km,7 m
"Hollywood Vine, Los Angeles (Hollywood)",1134,1011,816,2954,454,16695,1637,1833,4886,782,3302,1469,5362,72,34.1014183,-118.3257421,96,0.2 km,0.1 km,0.1 km
"Hollywood Western, Los Angeles (East Hollywood)",693,959,421,1316,573,12687,1753,10442,2418,103,471,129,4032,46,34.0980031,-118.329523,99,0.3 km,44 m,20 m
"Hyde Park, Los Angeles (Hyde Park)",730,443,215,461,111,877,1757,657,593,97,116,8,1067,17,33.9854024,-118.330861,78,0.3 km,1 m,1 m
"Indiana, Los Angeles (East Los Angeles)",330,191,149,366,389,587,1704,625,827,50,143,2,396,9,41.6923446,-85.9259083,11,1.0 km,2.7 km,0.1 km
"Irwindale, Irwindale",3444,999,181,721,505,1434,110,329,254,223,193,6,318,66,34.1069927,-117.934214,54,0.5 km,27 m,8 m
"Jefferson USC, Los Angeles (University Park)",1070,613,311,1066,429,1840,5832,2187,2013,626,828,213,1912,31,34.0218833,-118.2858666,88,9 m,0.4 km,20 m
"Lake, Pasadena",13,6,15,9,3,15,6,6,2,98,1,0,15,18,28.3280593,-82.2223069,0,6.0 km,,0.2 km
"Lakewood Boulevard, Downey",676,466,165,1257,222,3002,2672,3627,1261,1174,167,34,531,46,33.9130799,-118.1406419,78,1.0 km,1.1 km,1.0 km
"LATTC Ortho Institute, Los Angeles (Historic South Central)",4459,3621,549,3446,645,2988,1785,1910,1166,258,194,26,1127,42,34.0291645,-118.2735701,91,0.7 km,6 m,6 m
"La Cienega Jefferson, Los Angeles (Baldwin Hills)",1671,1008,325,1659,126,4533,654,467,650,57,1704,27,798,55,34.0264383,-118.3725319,83,0.9 km,40 m,86 m
"Leimert Park, Los Angeles (Leimert Park)",339,230,124,860,192,1427,1549,936,768,258,135,2,1076,23,34.008441,-118.3314469,92,0.6 km,0.3 km,26 m
"Lincoln Cypress, Los Angeles (Lincoln Heights Cypress Park)",1084,464,129,674,239,599,602,124,364,139,126,0,397,22,34.0807497,-118.2207106,73,0.2 km,0.1 km,0.1 km
"Little Tokyo Arts District, Los Angeles (Little Tokyo)",8928,10258,244,8796,1227,53313,1622,4095,7962,18283,2797,2194,8031,217,34.0488626,-118.238748,95,0.3 km,1 m,1 m
"Long Beach Boulevard, Lynwood",1725,982,338,2120,274,1128,1281,609,994,752,32,29,651,19,33.9248873,-118.209968,86,0.8 km,1 m,1 m
"Maravilla, East Los Angeles",715,466,271,241,85,2795,1429,887,554,13851,54,19,549,69,34.0332976,-118.1681507,73,1.2 km,1 m,1 m
"Mariachi Plaza, Los Angeles (Boyle Heights)",1118,1629,157,1017,381,2686,1174,6188,1348,798,287,19,988,43,34.0474812,-118.2190832,91,0.2 km,3 m,3 m
"Mariposa, El Segundo",535,1111,60,313,52,1549,232,249,479,518,449,23,474,44,33.9232168,-118.387579,45,1.1 km,8 m,1 m
"Martin Luther King Jr., Los Angeles (Baldwin Hills Crenshaw)",598,327,122,1030,253,1965,1094,952,899,217,123,7,937,22,34.011257,-118.3357738,91,70 m,1 m,1 m
"Memorial Park, Pasadena",3446,2094,626,2899,792,24439,2593,25476,4789,5560,1138,809,3793,212,34.148477,-118.1474604,96,0.2 km,0.2 km,35 m
"North Hollywood, Los Angeles (North Hollywood)",1231,872,806,855,308,3523,1333,1018,1693,395,1642,99,1404,31,34.1649502,-118.3747521,97,0.1 km,11 m,11 m
"Norwalk, Norwalk",1362,906,397,718,199,2386,725,2672,1065,2842,243,175,644,53,41.1175966,-73.4078968,86,0.1 km,0.1 km,70 m
"Pacific Avenue, Long Beach",1199,931,115,489,385,2008,920,1216,497,197,221,20,543,33,33.7723341,-118.1937561,97,0.3 km,1 m,1 m
"Pacific Coast Highway, Long Beach",1101,528,471,655,329,1565,1494,4096,834,257,112,56,1057,17,33.7894805,-118.1893842,86,0.5 km,0.1 km,0.1 km
"Palms, Los Angeles (Palms)",1908,651,492,883,672,4977,1114,1366,1676,90,442,126,885,31,34.0293247,-118.4042754,90,0.3 km,7 m,7 m
"Pico, Los Angeles (South Park)",822,287,293,567,232,974,1986,444,673,221,86,20,737,10,34.0406717,-118.2661915,94,0.3 km,22 m,2 m
"Pico Aliso, Los Angeles (Boyle Heights)",2381,5456,99,1324,465,5982,963,5705,3429,8754,1088,123,2784,109,34.0436892,-118.2097684,93,0.2 km,2 m,2 m
"Redondo Beach, Redondo Beach",610,560,204,550,311,2503,628,1025,1772,991,344,467,830,40,33.8455911,-118.3886766,93,0.4 km,0.3 km,0.2 km
"San Pedro, Los Angeles (Historic South Central)",6964,6797,955,7408,946,6253,1788,3570,2133,378,857,99,2201,95,34.0270236,-118.2559563,87,0.2 km,64 m,0.1 km
"Sierra Madre Villa, Pasadena",530,260,570,1601,555,4183,914,2077,1451,104,183,132,953,95,34.1484546,-118.0814884,80,1.3 km,24 m,24 m
"Slauson, Florence-Graham",3880,2039,491,1663,619,1283,1564,290,698,136,87,5,841,29,33.9741588,-118.2432856,81,0.6 km,0.2 km,0.2 km
"Soto, Los Angeles (Boyle Heights)",735,311,116,445,222,1320,2641,16224,969,1208,171,38,434,53,34.0436132,-118.2102316,93,0.2 km,1 m,1 m
"Southwest Museum, Los Angeles (Highland Park Mount Washington)",216,42,79,169,216,563,467,526,337,3,70,0,338,10,34.0982784,-118.2066457,74,0.6 km,13 m,8 m
"South Pasadena, South Pasadena",391,194,112,452,601,2435,947,1373,1362,337,230,34,802,39,34.1133062,-118.1478291,83,0.6 km,0.6 km,0.3 km
"Union Station, Los Angeles (El Pueblo)",3734,6273,99,2534,565,17832,1192,3760,4301,17657,1680,639,4847,131,34.0558624,-118.2342859,81,0.3 km,37 m,37 m
"Universal City Studio City, Los Angeles (Studio City)",516,363,426,855,261,4697,342,995,2409,54,3127,817,1090,97,34.1393585,-118.362359,77,0.2 km,13 m,13 m
"Vermont Athens, Los Angeles (Athens South Los Angeles)",363,158,91,61,181,350,786,257,264,644,21,28,350,8,33.9182564,-118.291826,65,0.1 km,72 m,60 m
"Vermont Beverly, Los Angeles (Koreatown)",1776,1368,443,2164,1462,26651,3333,6215,4817,2793,782,295,5077,47,34.0766342,-118.2919583,89,0.6 km,2 m,2 m
"Vermont Santa Monica, Los Angeles (East Hollywood)",586,607,412,1233,568,3333,1716,15850,2516,152,524,109,4038,45,34.090641,-118.292044,93,0.5 km,2 m,2 m
"Vermont Sunset, Los Angeles (East Hollywood)",623,403,361,1232,569,3551,1486,15468,2716,60,507,129,3961,48,34.09689745,-118.2927196,94,0.2 km,0.2 km,39 m
"Vernon, Los Angeles (South Los Angeles)",8797,8640,1046,12455,1220,40919,2075,4583,6250,2582,2516,3519,6779,178,34.0038275,-118.2738644,83,1.0 km,21 m,1 m
